location	Habitat	ARG_Abund_avg	numsubtype_avg	ARG_Abund_sd	numsubtype_sd	sampleInformation	longitude	latitude
GD_SL_Farmland	Fa	586.716359480141	434	87.4123358760063	14.9331845230681	Fa.GD1	111.6462233	22.14442
GD_DBS_Farmland	Fa	444.343965170661	389.333333333333	10.6228292214661	15.3079500042734	Fa.GD3	113.7030467	24.59785333
GX_Fa_Farmland	Fa	586.530341771552	442	96.8253647995136	23.0651251893416	Fa.GX	107.6220533	24.82599167
YN_SZS_Farmland	Fa	445.744841835551	466	76.2945335547573	56.3205113613149	Fa.YN1	102.0334417	24.87889167
GD_FK_Farmland	Fa	701.078805516068	443.666666666667	57.0407533923553	7.57187779440036	Fa.GD2	113.661495	25.05477
FJ_Fa_Farmland	Fa	433.232387007563	419.333333333333	73.7179180793309	10.785793124909	Fa.FJ	116.3803267	25.15662667
HuN_HSP_Farmland	Fa	642.012955174547	438	54.5753801294693	19.9749843554382	Fa.HuN2	112.7231433	25.69602333
YN_TD_Farmland	Fa	580.849793167688	492.666666666667	123.965809951925	12.6622799421484	Fa.YN2	103.0568267	26.18891667
JX_YK_Farmland	Fa	728.78621564292	394.666666666667	343.84487136313	17.9536440126603	Fa.JX1	115.6360067	26.22076667
YN_LP_Farmland	Fa	309.453294449536	462.666666666667	10.3574405089114	11.8462370959446	Fa.YN4	99.39872833	26.39589667
HuN_SKS_Farmland	Fa	891.698418716972	402.666666666667	62.7197686306653	77.6552209019673	Fa.HuN1	112.5650133	26.5503
YN_HZ_Farmland	Fa	609.406415086257	456.666666666667	66.5671464778139	14.047538337137	Fa.YN3	103.7252383	26.64416667
GZ_Fa_Farmland	Fa	611.467631401542	405.666666666667	72.867721600294	18.5022521151706	Fa.GZ	104.01472	26.75056667
JX_YP_Farmland	Fa	839.814808840262	475.333333333333	249.075561298204	8.50490054811538	Fa.JX2	117.7219417	28.20614833
JX_DX_Farmland	Fa	685.190565283112	444.666666666667	151.473572239191	56.5891626845047	Fa.JX3	117.70947	29.02181167
JX_CMS_Farmland	Fa	607.695834852765	478.333333333333	46.2106087720537	6.50640709864771	Fa.JX4	115.8239733	29.68163167
JX_WS_Farmland	Fa	816.41982296206	448.666666666667	36.5834142085062	17.925772879665	Fa.JX5	115.6475067	29.74392167
HuB_Fa_Farmland	Fa	917.948422000539	475.333333333333	53.7760634491338	7.37111479583199	Fa.HuB	115.4761367	29.83743833
ZJ_Fa_Farmland	Fa	581.911585602343	445.666666666667	34.2274147869054	22.1885856541902	Fa.ZJ	119.8215233	30.11144333
AH_Fa_Farmland	Fa	783.920543111463	486.666666666667	43.2495363611984	4.61880215351701	Fa.AH	117.97375	30.93112667
JS_Fa_Farmland	Fa	646.690934642723	492	106.79617755341	7	Fa.JS	118.9583467	32.16583
FX_Fa_Farmland	Fa	596.340941444155	472	87.2999348617628	11.7898261225516	Fa.FX	106.5948917	33.892345
GS_Fa_Farmland	Fa	510.938665808442	484	65.4664465684428	7	Fa.GS	105.7585167	33.94789833
YQ_Fa_Farmland	Fa	664.281106842249	454.333333333333	13.8164068319444	7.63762615825973	Fa.YQ	111.6588833	35.26569833
LN_Fa_Farmland	Fa	360.476075792901	450	60.126359110872	4.35889894354067	Fa.LN	123.6008183	40.70888167
NM_DSM_Farmland	Fa	710.70304902319	392.666666666667	11.803575875796	5.5075705472861	Fa.NM2	107.0885117	41.11035333
HeB_Fa_Farmland	Fa	409.032349266326	456	12.9874799435049	4.58257569495584	Fa.HeB	115.2716883	41.43775333
NM_BY_Farmland	Fa	437.729700501156	466.333333333333	19.936576670902	8.08290376865476	Fa.NM1	118.921765	44.44426167
HLJ_Fa_Farmland	Fa	521.659242131805	472.333333333333	133.872672677521	18.0092568789868	Fa.HLJ	129.27377	47.47459833
